name	team	pos	opp	proj	st	rost	fpts	avg
Xavier Worthy	KC	WR	DEN	9.6	2.9	80.3	174.8	10.3
Khalil Shakir	BUF	WR	@HOU	9.6	2.6	79.1	172.4	10.1
Josh Downs	IND	WR	BAL	9.6	1.8	78.2	165.8	9.8
Quentin Johnston	LAC	WR	ARI	10.5	3.1	78.0	166.6	9.8
Jonathon Brooks	CAR	RB	CHI	9.0	1.7	75.6	147.9	8.7
KC Concepcion	CLE	WR	@JAX	9.7	2.0	75.2	164.0	9.6
Jake Bates	DET	K	NO	8.5	67.7	74.9	141.2	8.3
Romeo Doubs	NE	WR	@SEA	9.5	2.4	73.6	172.9	10.2
Jayden Reed	GB	WR	@MIN	10.0	2.2	73.3	172.4	10.1
Jacory Croskey-Merritt	WSH	RB	@PHI	8.0	2.2	73.1	155.1	9.1
Harrison Butker	KC	K	DEN	8.3	63.3	72.1	144.3	8.5
Travis Hunter	JAX	WR	CLE	6.5	3.5	71.0	112.8	6.6
Kenyon Sadiq	NYJ	TE	@TEN	9.7	12.7	69.5	164.3	9.7
Woody Marks	HOU	RB	BUF	8.1	1.6	68.6	129.4	7.6
T.J. Hockenson	MIN	TE	GB	9.3	13.9	67.7	159.2	9.4
Jaguars D/ST	JAX	DST	CLE	13.0	57.1	63.7	178.8	10.5
Browns D/ST	CLE	DST	@JAX	9.9	51.4	60.9	185.2	10.9
Alvin Kamara	NO	RB	@DET	7.0	1.8	59.4	125.9	7.4
Isiah Pacheco	DET	RB	NO	7.6	2.8	58.8	125.6	7.4
Jordan Mason	MIN	RB	GB	7.7	1.3	58.3	132.6	7.8
Lions D/ST	DET	DST	NO	12.2	46.4	56.9	193.5	11.4
