name	team	pos	opp	proj	st	rost	fpts	avg
Derrick Henry	BAL	RB	@IND	16.3	96.0	99.6	282.5	16.6
George Pickens	DAL	WR	@NYG	14.5	93.3	99.6	243.9	14.3
Drake London	ATL	WR	@PIT	15.4	95.9	99.4	275.1	16.2
Nico Collins	HOU	WR	BUF	16.0	94.7	99.4	254.8	15.0
A.J. Brown	NE	WR	@SEA	14.0	90.5	99.3	253.6	14.9
Kenneth Walker III	KC	RB	DEN	15.1	90.6	99.3	278.9	16.4
Josh Jacobs	GB	RB	@MIN	16.2	92.1	99.2	279.8	16.5
Drake Maye	NE	QB	@SEA	15.5	80.2	99.1	309.8	18.2
Tyler Warren	IND	TE	BAL	12.2	94.8	99.0	210.7	12.4
Colston Loveland	CHI	TE	@CAR	12.1	95.2	99.0	208.7	12.3
Cameron Dicker	LAC	K	ARI	10.1	95.1	99.0	159.1	9.4
Omarion Hampton	LAC	RB	ARI	19.2	93.7	99.0	284.9	16.8
Texans D/ST	HOU	DST	BUF	11.1	82.8	98.9	217.4	12.8
Rashee Rice	KC	WR	DEN	15.2	92.9	98.9	274.3	16.1
DeVonta Smith	PHI	WR	WSH	15.0	88.4	98.8	243.2	14.3
Broncos D/ST	DEN	DST	@KC	11.3	82.7	98.6	218.1	12.8
Jayden Daniels	WSH	QB	@PHI	16.4	84.8	98.6	312.9	18.4
Chase Brown	CIN	RB	TB	16.4	90.5	98.6	277.4	16.3
Jeremiyah Love	ARI	RB	@LAC	16.5	93.2	98.5	284.5	16.7
Malik Nabers	NYG	WR	DAL	0.0	57.5	98.4	222.0	14.8
Chris Olave	NO	WR	@DET	14.4	88.0	98.4	249.2	14.7
TreVeyon Henderson	NE	RB	@SEA	10.9	49.5	93.0	211.6	12.4
Rams D/ST	LAR	DST	SF	11.3	77.4	92.7	206.6	12.2
Harold Fannin Jr.	CLE	TE	@JAX	11.3	82.6	92.7	189.3	11.1
Matthew Stafford	LAR	QB	SF	17.4	46.1	92.7	290.9	17.1
DJ Moore	BUF	WR	@HOU	11.8	44.0	92.7	213.3	12.5
Steelers D/ST	PIT	DST	ATL	12.3	82.9	92.6	212.9	12.5
Rome Odunze	CHI	WR	@CAR	12.6	39.9	91.9	216.6	12.7
D'Andre Swift	CHI	RB	@CAR	12.6	50.2	91.6	216.3	12.7
David Montgomery	HOU	RB	BUF	12.5	36.9	91.5	196.4	11.6
DK Metcalf	PIT	WR	ATL	12.3	25.2	91.3	198.1	11.7
Harrison Mevis	LAR	K	SF	9.2	85.3	91.3	155.7	9.2
Jadarian Price	SEA	RB	NE	13.9	49.1	91.0	197.8	11.6
Luther Burden III	CHI	WR	@CAR	12.1	27.3	90.9	209.0	12.3
Mike Evans	SF	WR	@LAR	11.3	24.2	90.4	187.8	11.0
Travis Kelce	KC	TE	DEN	9.9	58.4	90.4	178.6	10.5
Caleb Williams	CHI	QB	@CAR	16.1	40.1	90.4	278.0	16.4
Marvin Harrison Jr.	ARI	WR	@LAC	11.6	18.5	90.2	196.9	11.6
Courtland Sutton	DEN	WR	@KC	11.8	18.4	90.2	206.7	12.2
Michael Pittman Jr.	PIT	WR	ATL	12.4	18.5	90.2	198.6	11.7
Dallas Goedert	PHI	TE	WSH	10.9	59.4	90.1	178.3	10.5
Dak Prescott	DAL	QB	@NYG	16.9	50.8	89.9	281.5	16.6
Bhayshul Tuten	JAX	RB	CLE	12.6	36.4	89.6	208.8	12.3
Cam Little	JAX	K	CLE	8.6	81.3	89.6	143.9	8.5
Chuba Hubbard	CAR	RB	CHI	11.5	21.9	89.0	187.9	11.1
Brock Purdy	SF	QB	@LAR	15.2	38.4	88.6	290.6	17.1
Jake Ferguson	DAL	TE	@NYG	10.0	42.3	88.6	168.2	9.9
Patrick Mahomes	KC	QB	DEN	15.1	20.5	88.5	285.4	16.8
Tony Pollard	TEN	RB	NYJ	12.1	15.7	88.4	194.2	11.4
Alec Pierce	IND	WR	BAL	12.0	9.1	88.3	206.7	12.2
Trevor Lawrence	JAX	QB	CLE	16.5	42.4	87.8	281.1	16.5
Jaylen Warren	PIT	RB	ATL	12.6	18.1	87.8	193.8	11.4
Christian Watson	GB	WR	@MIN	11.0	8.4	87.7	188.8	11.1
Rico Dowdle	PIT	RB	ATL	12.6	14.5	87.4	189.3	11.1
Brian Thomas Jr.	JAX	WR	CLE	10.3	6.0	87.3	178.9	10.5
Justin Herbert	LAC	QB	ARI	18.5	36.0	87.3	271.8	16.0
Tucker Kraft	GB	TE	@MIN	9.6	30.1	87.1	163.9	9.6
Eagles D/ST	PHI	DST	WSH	11.3	74.2	86.8	195.4	11.5
Patriots D/ST	NE	DST	@SEA	10.3	71.2	86.7	190.2	11.2
Ravens D/ST	BAL	DST	@IND	12.1	73.8	86.7	208.0	12.2
Bo Nix	DEN	QB	@KC	16.1	24.3	86.5	294.0	17.3
Jordyn Tyson	NO	WR	@DET	11.0	7.3	86.5	191.2	11.2
Aaron Jones Sr.	MIN	RB	GB	11.1	8.4	86.3	191.4	11.3
Makai Lemon	PHI	WR	WSH	10.8	7.5	86.2	175.4	10.3
Parker Washington	JAX	WR	CLE	10.7	5.2	86.1	186.4	11.0
Jakobi Meyers	JAX	WR	CLE	10.5	4.9	85.9	183.5	10.8
Rhamondre Stevenson	NE	RB	@SEA	10.0	6.2	85.7	193.7	11.4
J.K. Dobbins	DEN	RB	@KC	9.6	6.0	85.6	175.7	10.3
